title,artist,year,genre
Two Rubes in a Tavern,Frank Stanley & Byron G Harlan,1902.0,pop
"Oh, Didn't He Ramble",Dan Quinn,1902.0,pop
I Don't Like That Face You Wear,Bert Williams,1902.0,pop
Jennie Lee,Harry MacDonough,1902.0,pop
In the Sweet Bye & Bye,Haydn Quartet,1902.0,pop
On a Sunday Afternoon,J Aldrich Libbey,1902.0,pop
Home Sweet Home,Harry MacDonough,1902.0,pop
In the Good Old Summer Time,William Redmond,1902.0,pop
In the Good Old Summer Time,Haydn Quartet,1903.0,pop
"Come Down, Ma Ev'ning Star",Mina Hickman,1903.0,pop
That's How The Little Girl Got On,Marie Lloyd,1903.0,pop
Perdao Emilia,Bahiano,1903.0,pop
Any Rags?,Arthur Collins,1903.0,pop
Hiawatha (His Song to Minnehaha),Harry MacDonough,1903.0,pop
Goodbye Liza Jane,Arthur Collins,1903.0,pop
Hurrah for Baffin's Bay,Arthur Collins & Byron G Harlan,1903.0,pop
Uncle Josh On an Automobile,Cal Stewart,1903.0,pop
In the Good Old Summer Time,Sousa's Band,1903.0,pop
In the Good Old Summer Time,Harry MacDonough & John Bieling,1903.0,pop
"Come Down, Ma Ev'ning Star",Henry Burr,1903.0,pop
Old Kentucky Home,Haydn Quartet,1903.0,pop
"Beautiful Bird, Sing On",Harry MacDonough & Joe Belmont,1903.0,pop
Dear Old Girl,JW Myers,1903.0,pop
A Bird in a Gilded Cage,Hamilton Hill,1903.0,pop
Reuben Haskins' Ride on a Cyclone Auto,Len Spencer,1903.0,pop
Hurrah for Baffin's Bay,Bob Roberts,1903.0,pop
Always in the Way,Byron G Harlan,1903.0,pop
In the Sweet Bye & Bye,J Aldrich Libbey,1903.0,pop
You Can't Fool All the People All the Time,Arthur Collins,1903.0,pop
In the Good Old Summer Time,Harry MacDonough,1903.0,pop
Isto & Bom,Mario Pinheiro,1903.0,pop
By the Sycamore Tree,Bob Roberts,1903.0,pop
The Rosary,William H Thompson,1903.0,pop
By the Sycamore Tree,Harry MacDonough,1903.0,pop
There's a Lot of Things You Never Learn at School,Dan Quinn,1903.0,pop
Hiawatha,Columbia Orchestra,1903.0,pop
I'm a Jonah Man,Arthur Collins,1903.0,pop
I'm Thinkin' of You All De While,Bob Roberts,1903.0,pop
Corta Jaca,Peppa Delgado & Mario Pinheiro,1903.0,pop
Parody on Hiawatha,Arthur Collins & Byron G Harlan,1903.0,pop
The Rosary,Henry Burr,1903.0,pop
Hiawatha Two-Step,Sousa's Band,1903.0,pop
Heidelberg,Harry MacDonough,1903.0,pop
The Beer That Made Milwaukee Famous,Dan Quinn,1903.0,pop
Heidelberg,JW Myers,1903.0,pop
Up in a Cocoanut Tree,Billy Murray,1903.0,pop
"If Money Talks, It Ain't On Speaking Terms with Me",Arthur Collins,1903.0,pop
If I But Knew,JW Myers,1903.0,pop
Uncle Josh & the Insurance Company,Cal Stewart,1904.0,pop
Bedelia,Haydn Quartet,1904.0,pop
Sweet Adeline (You're the Flower of My Heart),Haydn Quartet,1904.0,pop
Bedelia,Billy Murray,1904.0,pop
Silver Threads Among the Gold,Richard Jose,1904.0,pop
Toyland,Corrine Morgan,1904.0,pop
Blue Bell,Frank Stanley & Byron G Harlan,1904.0,pop
Meet Me in St Louis,Billy Murray,1904.0,pop
Sweet Adeline (You're the Flower of My Heart),Peerless Quartet,1904.0,pop
Amor Perdido,Patapio Silva,1904.0,pop
Blue Bell,Haydn Quartet,1904.0,pop
Alexander,Billy Murray,1904.0,pop
Navajo,Billy Murray,1904.0,pop
I Can't Do My Bally Bottom Button Up,Ernie Mayne,1904.0,pop
All Aboard for Dreamland,Byron G Harlan,1904.0,pop
Aida - Celeste Aida,Enrico Caruso,1904.0,pop
Evening Time at the Pumpkin Center,Cal Stewart,1904.0,pop
Sweet Adeline (You're the Flower of My Heart),Albert Campbell & James F Harrison,1904.0,pop
I've Got a Feelin' for You,Arthur Collins,1904.0,pop
Meet Me in St Louis,S H Dudley,1904.0,pop
Primeiro Amor,Mario Pinheiro,1904.0,pop
Come Take a Trip in My Air-Ship,JW Myers,1904.0,pop
Teasing (I was Only Teasing You),Billy Murray,1904.0,pop
Under the Anheuser Bush,Billy Murray,1904.0,pop
Dear Old Girl,Haydn Quartet,1904.0,pop
Under the Anheuser Bush,Arthur Collins & Byron G Harlan,1904.0,pop
My Heart's At Your Feet,Isabel Jay,1904.0,pop
Bedelia,George J Gaskin,1904.0,pop
Poor Wand'ring One,Isabel Jay,1904.0,pop
The Woodchuck Song,Bob Roberts,1904.0,pop
"I May be Crazy, But I Ain't No Fool",Bob Roberts,1904.0,pop
My Little Canoe,Henry Burr,1904.0,pop
Navajo,JW Myers,1904.0,pop
Bedelia,Arthur Pryor's Band,1904.0,pop
Teasin',Bob Roberts,1904.0,pop
Razzle Dazzle,Vess Ossman,1904.0,pop
Meet Me in St Louis,JW Myers,1904.0,pop
Listen to the Mocking Bird,Frank Stanley & Corrine Morgan,1904.0,pop
Navajo,Harry MacDonough,1904.0,pop
"Good-Bye, My Lady Love",Henry Burr,1904.0,pop
Give My Regards to Broadway,Billy Murray,1905.0,pop
Vesti La Giubba (On With The Play),Enrico Caruso,1905.0,pop
Yankee Doodle (Song),Billy Murray,1905.0,pop
In My Merry Oldsmobile,Billy Murray,1905.0,pop
The Preacher & the Bear,Arthur Collins,1905.0,pop
Come Take a Trip in My Air-Ship,Billy Murray,1905.0,pop
In the Shade of the Old Apple Tree,Henry Burr,1905.0,pop
The Pipes of Pan,Winnie Melville,1905.0,pop
Fantasias ao Luar,Banda da Casa Edison,1905.0,pop
Everybody Works but Father,Billy Murray,1905.0,pop
Where the Morning Glories Twine Around the Door,Byron G Harlan,1905.0,pop
Dearie,Corrine Morgan,1905.0,pop
The Day That You Grew Colder,Richard Jose,1905.0,pop
Cavalleria Rusticanna - Brindisi (Drinking Song),Enrico Caruso,1905.0,pop
Toreador's Song,Emilio DeGogorza,1905.0,pop
Cigarette,Robert Fear,1905.0,pop
Would You Care?,Byron G Harlan,1905.0,pop
In the Shade of the Old Apple Tree,Haydn Quartet,1905.0,pop
Tammany,Arthur Collins & Byron G Harlan,1905.0,pop
In the Shade of the Old Apple Tree,Albert Campbell,1905.0,pop
Nobody,Arthur Collins,1905.0,pop
My Little Canoe,Haydn Quartet,1905.0,pop
In the Shadow of the Pyramid,Frank Stanley,1905.0,pop
What You Goin' to Do When De Rent Comes 'Round?,Arthur Collins,1905.0,pop
Coax Me,Arthur Collins & Byron G Harlan,1905.0,pop
"Silent Night, Holy Night",Haydn Quartet,1905.0,pop
Itarare,Banda do Corpo de Bombeiros,1905.0,pop
You & I,Isabel Jay,1905.0,pop
Talento & Formosura,Mario Pinheiro,1905.0,pop
If Those Lips could Only Speak,George Baker,1905.0,pop
La Mattchiche,Felix Mayol,1905.0,pop
My Irish Molly-O,Arthur Collins,1905.0,pop
Sweet Thoughts of Home,Harry MacDonough,1905.0,pop
Coax Me Medley,Prince's Orchestra,1905.0,pop
Tell Me with Your Eyes,Haydn Quartet,1905.0,pop
My Carolina Lady,Ada Jones,1905.0,pop
In Dear Old Georgia,Frank Stanley,1905.0,pop
St Louis Rag,Vess Ossman,1905.0,pop
Tell Me with Your Eyes,Peerless Quartet,1905.0,pop
America,Sousa's Band,1905.0,pop
Nobody,Bert Williams,1906.0,pop
The Grand Old Rag,Billy Murray,1906.0,pop
Stop Your Tickling Jock,Harry Lauder,1906.0,pop
Casey at the Bat,DeWolf Hopper,1906.0,pop
Let it Alone,Bert Williams,1906.0,pop
"So Long, Mary",Corrine Morgan,1906.0,pop
"Wait Till the Sun Shines, Nellie",Harry Tally,1906.0,pop
Clelia (Ao Desfraldar da Vela),Mario Pinheiro,1906.0,pop
