title,artist,year,genre
New Pretty Blonde (Jole Blon),Moon Mullican,1947.0,country
Never Trust a Woman,Red Foley,1947.0,country
To My Sorrow,Eddy Arnold,1947.0,country
"(Oh Why, Oh Why, Did I Ever Leave) Wyoming",Dick Jurgens and His Orchestra,1947.0,country
Oakie Boogie,Jack Guthrie,1947.0,country
That's What I Like About the West,Tex Williams,1947.0,country
Feudin' And Fightin',Dorothy Shay,1947.0,country
Three Times Seven,Merle Travis,1947.0,country
Steel Guitar Rag,Merle Travis,1947.0,country
Down at the Roadside Inn,Al Dexter,1947.0,country
"So Round, So Firm, So Fully Packed",Ernest Tubb,1947.0,country
Jole Blon,Harry Choates,1947.0,country
Rainbow At Midnight,Ernest Tubb,1947.0,country
Teardrops In My Heart,Sons Of The Pioneers,1947.0,country
Move It On Over,Hank Williams,1947.0,country
Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,1947.0,country
You're Not My Darlin' Anymore,Gene Autry,1947.0,country
Don't Look Now (But Your Broken Heart Is Showing),Ernest Tubb,1947.0,country
That's How Much I Love You,Red Foley,1947.0,country
Ragtime Cowboy Joe,Eddy Howard,1947.0,country
(Our Own) Jole Blon,Roy Acuff,1947.0,country
Kokomo Island,Al Dexter,1947.0,country
Fat Gal,Merle Travis,1947.0,country
My Chickashay Gal,Roy Rogers,1947.0,country
Bang Bang,Jimmie Davis,1947.0,country
"Silver Stars, Purple Sage, Eyes of Blue",Cliffie Stone,1947.0,country
Jole Blon's Sister,Moon Mullican,1947.0,country
Crazy 'Cause I Love You,Spade Cooley,1947.0,country
The Daughter of Jole Blon,Johnny Bond,1947.0,country
I'll Step Aside,Ernest Tubb,1947.0,country
I Couldn't Believe It Was True,Eddy Arnold,1947.0,country
Cool Water,Sons Of The Pioneers,1947.0,country
Divorce Me C.O.D.,Johnny Bond,1947.0,country
Bob Wills Boogie,Bob Wills and His Texas Playboys,1947.0,country
Missouri,Merle Travis,1947.0,country
Freight Train Boogie,Red Foley,1947.0,country
Baby Doll,Sons Of The Pioneers,1947.0,country
"Cigareetes, Whusky, And Wild, Wild Women",Sons Of The Pioneers,1947.0,country
I'm Gonna Be Boss From Now On,Bob Wills and His Texas Playboys,1947.0,country
Bouquet of Roses,Eddy Arnold,1948.0,country
"Just A Little Lovin' (Will Go A Long, Long Way)",Eddy Arnold,1948.0,country
A Heart Full of Love (For a Handful of Kisses),Eddy Arnold,1948.0,country
What a Fool I Was,Eddy Arnold,1948.0,country
Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,1948.0,country
Humpty Dumpty Heart,Hank Thompson,1948.0,country
Then I Turned and Walked Slowly Away,Eddy Arnold,1948.0,country
Don't Telephone - Don't Telegraph (Tell a Woman),Tex Williams,1948.0,country
Bubbles In My Beer,Bob Wills and His Texas Playboys,1948.0,country
Life Gits Tee-Jus Don't It,Carson Robison,1948.0,country
Forever Is Ending Today,Ernest Tubb,1948.0,country
"I Love You So Much, It Hurts",Floyd Tillman,1948.0,country
Suspicion,Tex Williams,1948.0,country
Peepin' Thru the Keyhole (Watching Jole Blon),Cliffie Stone,1948.0,country
My Daddy Is Only a Picture,Eddy Arnold,1948.0,country
Buttons And Bows,Gene Autry,1948.0,country
Just Because,Frankie Yankovic and His Yanks,1948.0,country
Seaman's Blues,Ernest Tubb,1948.0,country
Banjo Polka,Tex Williams,1948.0,country
Rock And Rye,Tex Ritter,1948.0,country
I'm My Own Grandpa,Lonzo & Oscar,1948.0,country
Never Trust a Woman,Tiny Hill,1948.0,country
Blue Shadows On The Trail,Roy Rogers and The Sons Of The Pioneers,1948.0,country
Who? Me?,Tex Williams,1948.0,country
Dog House Boogie,Hawkshaw Hawkins,1948.0,country
One Has My Name (The Other Has My Heart),Eddie Dean,1948.0,country
"Signed, Sealed And Delivered",Bob Atcher,1948.0,country
Talking Boogie,Tex Williams,1948.0,country
Deck Of Cards,T Texas Tyler,1948.0,country
I'm a Long Gone Daddy,Hank Williams,1948.0,country
Chime Bells,Elton Britt,1948.0,country
Tennessee Waltz,Cowboy Copas,1948.0,country
Texarkana Baby,Bob Wills and His Texas Playboys,1948.0,country
Tennessee Moon,Cowboy Copas,1948.0,country
Cool Water,Sons Of The Pioneers,1948.0,country
Green Light,Hank Thompson,1948.0,country
Merle's Boogie Woogie,Merle Travis,1948.0,country
Keeper Of My Heart,Bob Wills and His Texas Playboys,1948.0,country
Red Roses Tied In Blue,Clyde Moody,1948.0,country
Anytime,Eddy Arnold,1948.0,country
That Wild And Wicked Look In Your Eye,Ernest Tubb,1948.0,country
Sweeter Than The Flowers,Moon Mullican,1948.0,country
The Waltz of the Wind,Roy Acuff,1948.0,country
Memories Of France,T Texas Tyler,1948.0,country
The Gods Were Angry With Me,Eddie Kirk,1948.0,country
Pan American,Hawkshaw Hawkins,1948.0,country
Fore Day in the Morning,Roy Brown and His Orchestra,1948.0,country
Rye Whiskey,Tex Ritter,1948.0,country
Banjo Boogie,Arthur Guitar Boogie Smith,1948.0,country
My Heart Echoes,Jimmie Osborne,1948.0,country
Slap Her Down Again Paw,Esmereldy and Her Novelty Band,1948.0,country
Dad Gave My Dog Away,T Texas Tyler,1948.0,country
Great Long Pistol,Jerry Irby and His Texas Ranchers,1948.0,country
Oklahoma Waltz,Johnny Bond,1948.0,country
Thorn In My Heart,Bob Wills and His Texas Playboys,1948.0,country
When My Blue Moon Turns to Gold Again,Cliffie Stone,1948.0,country
Little Community Church,Bill Monroe,1948.0,country
Sweetheart You Done Me Wrong,Bill Monroe,1948.0,country
Tumbling Tumbleweeds,Sons Of The Pioneers,1948.0,country
Calico Rag,Al Dexter,1948.0,country
Crazy Boogie,Merle Travis,1948.0,country
Cryin' In My Beer,Jerry Irby and His Texas Ranchers,1948.0,country
Lost John Boogie,Wayne Raney,1948.0,country
Molly Darling,Eddy Arnold,1948.0,country
Honky Tonk Gal,T Texas Tyler,1948.0,country
Yesterday's Mail,Hank Thompson,1948.0,country
Dear Oakie,Jack Rivers,1948.0,country
Foggy River,Kate Smith,1948.0,country
A Mansion on the Hill,Hank Williams,1948.0,country
Breeze,Cowboy Copas,1948.0,country
Just a Pair of Blue Eyes,Tex Williams,1948.0,country
Wicked Path of Sin,Bill Monroe,1948.0,country
Lazy Mazy,Bud Hobbs with His Trail Herders,1948.0,country
(There'll Never Be Another) Pecos Bill,Roy Rogers and The Sons Of The Pioneers,1948.0,country
Jack And Jill Boogie,Wayne Raney,1948.0,country
The Beaut from Butte,Dick Thomas,1948.0,country
This World Can't Stand Long,Roy Acuff,1948.0,country
Rock and Rye Rag,Al Dexter,1948.0,country
Honky Tonkin',Hank Williams,1948.0,country
Unloved and Unclaimed,Roy Acuff,1948.0,country
Tramp On The Street,Bill Carlisle,1948.0,country
Cocaine Blues,Roy Hogsed,1948.0,country
Pecos Bill,Tex Ritter,1948.0,country
You Nearly Lose Your Mind,Ernest Tubb,1948.0,country
Carolina Waltz,Clyde Moody,1948.0,country
A Sinner's Death,Roy Acuff,1948.0,country
Foolish Tears,Tex Williams,1948.0,country
I Love You So Much It Hurts,Jimmy Wakely,1949.0,country
Mule Train,Tennessee Ernie,1949.0,country
Lovesick Blues,Hank Williams,1949.0,country
"Rudolph, the Red-Nosed Reindeer",Gene Autry and The Pinafores,1949.0,country
I'm Throwing Rice (At the Girl That I Love),Eddy Arnold,1949.0,country
One Kiss Too Many,Eddy Arnold,1949.0,country
Riders in the Sky (A Cowboy Legend),Vaughn Monroe,1949.0,country
Blue Christmas,Ernest Tubb,1949.0,country
Then I Turned And Walked Slowly Away,"Eddy Arnold, The Tennessee Plowboy and His Guitar",1949.0,country
Slipping Around,Ernest Tubb,1949.0,country
I'm Bitin' My Fingernails and Thinking of You,The Andrews Sisters and Ernest Tubb and the Texas Troubadors,1949.0,country
The Echo of Your Footsteps,Eddy Arnold,1949.0,country
I Never See Maggie Alone,Kenny Roberts,1949.0,country
Have You Ever Been Lonely? (Have You Ever Been Blue),Ernest Tubb,1949.0,country
Anticipation Blues,Tennessee Ernie,1949.0,country
There's Not a Thing (I Wouldn't Do for You),Eddy Arnold,1949.0,country
Tennessee Polka,Pee Wee King and His Golden West Cowboys,1949.0,country
